,키,몸무게,연간 음주 빈도,한번 섭취시 음주량,일반담배 하루 흡연량,격렬한 신체활동 일수,중증도 신체활동 일수,걷기 실천 일수,주간 아침식사 일수,체형(5단계)
395,163.0,48.0,3,2,0,2,0,5,3,2
396,168.0,52.0,1,0,0,0,0,2,3,2
397,158.0,47.0,1,0,0,0,0,7,1,2
398,150.0,50.0,1,0,0,0,0,4,0,3
399,164.0,46.0,4,1,0,3,3,4,1,2
400,175.0,72.0,4,2,0,2,2,0,1,3
401,163.0,54.0,2,1,0,0,0,7,3,3
402,172.0,64.0,5,4,0,0,0,7,3,2
403,155.0,65.0,0,0,0,0,0,5,3,5
404,161.0,69.0,2,1,0,0,0,3,2,4
405,182.0,100.0,5,4,0,1,1,4,0,4
406,173.0,60.0,4,1,3,0,2,7,3,2
407,178.0,75.0,4,4,15,0,0,4,3,3
408,150.0,48.0,0,0,0,0,5,7,3,3
409,164.0,48.0,4,2,0,0,2,5,1,2
410,168.0,53.0,4,2,0,0,0,5,2,2
412,173.0,68.0,4,3,0,3,3,5,0,3
413,168.0,53.0,3,2,0,3,3,7,0,3
414,163.0,43.0,3,3,5,0,0,7,0,1
415,158.0,52.0,2,4,0,0,3,6,2,3
416,168.0,54.0,4,1,0,0,2,7,3,3
417,157.0,52.0,3,2,0,0,0,7,0,4
418,165.0,73.0,3,1,0,5,0,7,3,4
419,156.0,55.0,0,0,0,0,0,3,3,3
420,162.0,49.0,0,0,0,0,0,3,2,3
421,172.0,55.0,4,3,0,3,0,7,0,2
423,158.0,63.0,1,0,15,3,1,4,0,5
424,165.0,70.0,1,0,0,4,0,4,3,3
425,158.0,56.0,0,0,0,4,0,5,3,3
426,173.0,77.0,5,4,0,1,1,3,0,4
427,161.0,58.0,5,1,0,2,2,3,1,3
428,177.0,80.0,4,3,0,1,3,7,3,4
429,172.0,78.0,4,3,0,5,0,3,3,4
430,160.0,56.0,3,1,0,0,1,7,3,3
431,173.0,66.0,1,0,0,4,4,7,3,2
432,163.0,44.0,1,0,0,0,0,5,3,1
433,178.0,74.0,0,0,0,7,7,7,3,3
434,164.0,63.0,3,1,0,0,0,3,0,3
435,173.0,69.0,3,2,0,1,1,4,1,3
436,178.0,100.0,2,1,20,0,0,7,3,4
437,165.0,50.0,2,1,0,0,0,5,2,3
438,164.0,52.0,1,0,0,0,0,5,0,3
439,163.0,56.0,4,3,0,7,0,7,1,3
441,181.0,83.0,4,4,10,0,0,7,0,3
442,153.0,54.0,0,0,0,0,1,7,0,3
443,167.0,68.0,0,0,3,0,2,7,0,3
444,157.0,49.0,1,0,0,0,0,0,0,3
445,138.0,50.0,2,1,0,0,0,7,3,4
446,168.0,60.0,6,2,0,0,0,7,3,3
447,176.0,76.0,2,3,15,0,0,7,0,3
448,176.0,85.0,4,2,0,3,3,4,3,4
449,169.0,62.0,5,3,0,0,0,7,3,3
450,155.0,54.0,5,2,20,0,0,3,1,3
